,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,100,IN,1563576364,91,15.34,74.49,76.84,0.94
1,Petropavlovsk-Kamchatskiy,20,RU,1563576365,77,53.05,158.65,66.2,6.71
2,Tiksi,89,RU,1563576365,42,71.64,128.87,53.07,10.71
3,Rikitea,80,PF,1563576248,59,-23.12,-134.97,66.57,13.49
4,Saint George,20,GR,1563576367,73,39.45,22.34,75.0,2.21
5,Dikson,16,RU,1563576367,79,73.51,80.55,40.65,19.98
6,Punta Arenas,75,CL,1563576368,82,-53.16,-70.91,35.6,16.11
7,Touros,48,BR,1563576368,80,-5.2,-35.46,78.45,22.08
8,Kunda,24,EE,1563576369,93,59.5,26.52,57.22,6.49
9,Provideniya,87,RU,1563576370,70,64.42,-173.23,57.94,10.18
10,Bogoroditsk,36,RU,1563576370,93,53.77,38.13,54.15,12.19
11,Huainan,9,CN,1563576371,79,32.59,117.01,80.97,3.71
12,Athabasca,98,CA,1563576372,81,54.72,-113.29,62.8,4.21
13,Launceston,40,AU,1563576372,87,-41.43,147.14,48.0,9.17
14,Dharchula,1,IN,1563576373,80,29.85,80.53,51.82,1.68
15,Butaritari,65,KI,1563576373,68,3.07,172.79,84.94,8.34
16,Hesla,1,IN,1563576373,89,24.07,85.88,76.47,5.3
17,Khatanga,52,RU,1563576373,44,71.98,102.47,69.64,8.72
18,Georgetown,40,GY,1563576374,88,6.8,-58.16,80.6,9.17
19,Saint-Philippe,40,CA,1563576374,62,45.36,-73.48,90.0,20.8
20,Albany,75,US,1563576299,52,42.65,-73.75,91.4,9.17
21,Hobart,75,AU,1563576103,75,-42.88,147.33,44.6,10.29
22,Norman Wells,40,CA,1563576136,44,65.28,-126.83,78.8,3.36
23,Cabo San Lucas,20,MX,1563576125,34,22.89,-109.91,93.2,13.87
24,Maldonado,0,UY,1563576374,93,-34.91,-54.96,55.4,2.24
25,Busselton,17,AU,1563576209,98,-33.64,115.35,43.0,26.13
26,Chokurdakh,100,RU,1563576375,70,70.62,147.9,41.74,9.13
27,Narsaq,27,GL,1563576375,59,60.91,-46.05,60.8,8.05
28,Sitka,0,US,1563576375,35,37.17,-99.65,100.99,18.01
29,Hilo,75,US,1563576375,54,19.71,-155.08,84.2,10.29
30,Hithadhoo,93,MV,1563576375,76,-0.6,73.08,83.14,18.25
31,Kenitra,75,MA,1563576375,83,34.26,-6.57,72.0,12.75
32,Russell,1,US,1563576375,28,38.9,-98.86,104.0,28.86
33,East London,30,ZA,1563576116,58,-33.02,27.91,48.4,24.7
34,Tasiilaq,99,GL,1563576376,81,65.61,-37.64,46.4,8.05
35,Ayodhya,0,IN,1563576376,64,26.8,82.21,87.1,5.01
36,Ushuaia,40,AR,1563576187,55,-54.81,-68.31,39.2,8.05
37,Kapaa,75,US,1563576376,70,22.08,-159.32,86.0,14.99
38,Qaqortoq,27,GL,1563576376,59,60.72,-46.03,60.8,8.05
39,Saint-Augustin,75,CA,1563576376,70,45.63,-73.98,89.01,11.41
40,Port Blair,95,IN,1563576377,77,11.67,92.75,81.87,11.39
41,New Norfolk,75,AU,1563576377,75,-42.78,147.06,44.6,10.29
42,Salinas,1,US,1563576377,60,36.67,-121.66,81.0,14.99
43,Khani,90,GE,1563576377,100,41.96,42.96,71.6,2.24
44,Sobolevo,47,RU,1563576377,87,54.43,31.9,54.52,11.32
45,Ostrovnoy,45,RU,1563576377,96,68.05,39.51,40.12,7.47
46,Airai,0,TL,1563576378,53,-8.93,125.41,76.84,1.54
47,Katsuura,75,JP,1563576378,94,33.93,134.5,77.0,14.99
48,Carnarvon,61,ZA,1563576269,84,-30.97,22.13,37.42,11.61
49,Ballina,98,IE,1563576378,95,54.11,-9.15,60.01,3.0
50,Hermanus,29,ZA,1563576378,99,-34.42,19.24,48.99,1.01
51,Mareeba,0,AU,1563576378,72,-16.99,145.42,59.0,13.87
52,Tuatapere,100,NZ,1563576353,97,-46.13,167.69,46.99,5.99
53,Mataura,100,NZ,1563576378,97,-46.19,168.86,46.99,5.99
54,Bethel,90,US,1563576379,87,60.79,-161.76,57.2,12.75
55,Avarua,13,CK,1563576312,88,-21.21,-159.78,75.2,5.82
56,Thunder Bay,75,CA,1563576379,69,48.41,-89.26,79.0,6.93
57,Haines Junction,77,CA,1563576379,53,60.75,-137.51,65.67,11.05
58,Sovetskiy,1,RU,1563576379,94,56.76,48.47,56.67,5.41
59,Baculin,38,PH,1563576379,60,7.45,126.58,81.15,1.48
60,Grand Gaube,75,MU,1563576379,78,-20.01,57.66,71.6,12.75
61,Manturovo,15,RU,1563576380,98,58.33,44.76,53.8,3.67
62,Saskylakh,96,RU,1563576380,40,71.97,114.09,64.6,14.9
63,Upington,0,ZA,1563576380,62,-28.46,21.24,51.8,5.82
64,Bereda,75,ES,1563576380,100,43.27,-7.54,64.99,3.36
65,Yellowknife,75,CA,1563576302,42,62.45,-114.38,68.0,9.17
66,Jablah,40,SY,1563576380,78,35.36,35.93,75.2,2.24
67,Lokachi,80,UA,1563576380,78,50.74,24.65,59.0,6.06
68,Morro Agudo,0,BR,1563576380,43,-20.73,-48.05,69.8,6.93
69,Clyde River,40,CA,1563576381,81,70.47,-68.59,46.4,4.7
70,Sao Jose da Coroa Grande,55,BR,1563576381,95,-8.9,-35.15,70.17,5.19
71,Bambanglipuro,99,ID,1563576381,90,-7.95,110.28,75.94,15.43
72,Pochutla,75,MX,1563576381,62,15.74,-96.47,87.8,0.63
73,Nong Phai,93,TH,1563576381,92,16.0,101.06,77.74,2.86
74,Pacific Grove,1,US,1563576382,60,36.62,-121.92,73.99,14.99
75,Avera,1,US,1563576382,74,33.19,-82.53,93.2,6.93
76,Umm Lajj,0,SA,1563576382,78,25.02,37.27,85.84,12.44
77,Atuona,100,PF,1563576382,67,-9.8,-139.03,80.44,9.1
78,Pevek,100,RU,1563576382,98,69.7,170.27,31.84,7.78
79,Shelburne,75,CA,1563576382,66,44.08,-80.2,87.8,11.41
80,Zonguldak,0,TR,1563576382,74,41.25,31.83,73.95,14.92
81,Naze,100,NG,1563576383,97,5.43,7.07,71.97,3.04
82,Kawalu,99,ID,1563576383,96,-7.38,108.21,68.37,3.22
83,Kavieng,4,PG,1563576322,76,-2.57,150.8,83.85,13.47
84,Biloela,0,AU,1563576383,45,-24.4,150.51,63.87,9.69
85,Chuy,20,UY,1563576213,89,-33.69,-53.46,56.14,7.54
86,Lebu,75,ET,1563576383,93,8.96,38.73,53.6,4.7
87,Dudinka,0,RU,1563576383,58,69.41,86.18,59.0,8.95
88,Egvekinot,100,RU,1563576282,94,66.32,-179.17,49.65,10.87
89,Walvis Bay,0,NA,1563576383,52,-22.95,14.51,64.4,1.12
90,Thompson,75,CA,1563576133,67,55.74,-97.86,60.8,18.34
91,Payo,100,ID,1563576384,84,-3.75,103.64,69.64,2.17
92,Lixourion,32,GR,1563576384,42,38.2,20.43,72.0,9.8
93,Mar del Plata,0,AR,1563576384,52,-46.43,-67.52,38.32,24.83
94,Saurimo,21,AO,1563576384,37,-9.66,20.4,57.57,4.72
95,Margate,75,AU,1563576384,75,-43.03,147.26,44.6,10.29
96,Verkhnyaya Toyma,100,RU,1563576384,83,62.24,45.0,54.87,6.67
97,Kruisfontein,87,ZA,1563576385,71,-34.0,24.73,48.57,25.68
98,Labuhan,1,ID,1563576385,77,-2.54,115.51,78.1,0.25
99,Kununurra,0,AU,1563576385,71,-15.77,128.74,55.4,3.36
100,Clyde,100,NZ,1563576196,89,-45.19,169.32,43.0,3.04
101,Port Alfred,45,ZA,1563576385,82,-33.59,26.89,52.0,15.99
102,Tuktoyaktuk,90,CA,1563576385,93,69.44,-133.03,50.0,12.75
103,Cherskiy,100,RU,1563576385,70,68.75,161.3,42.27,9.42
104,Maningrida,3,AU,1563576386,56,-12.05,134.23,71.8,8.03
105,Huarmey,1,PE,1563576386,86,-10.07,-78.15,61.9,11.39
106,Parava,0,RO,1563576386,93,46.31,26.99,63.0,5.14
107,Severo-Kurilsk,100,RU,1563576386,98,50.68,156.12,47.14,2.77
108,Codrington,40,AU,1563576386,81,-28.95,153.24,55.99,8.05
109,Beringovskiy,100,RU,1563576386,80,63.05,179.32,55.24,7.38
110,Hofn,93,IS,1563576387,95,64.25,-15.21,39.94,11.72
111,Lorengau,12,PG,1563576387,79,-2.02,147.27,82.6,9.44
112,Pahrump,75,US,1563576387,6,36.21,-115.98,102.0,12.75
113,Adeje,99,NG,1563576387,91,5.68,5.76,75.4,5.35
114,Pandan,97,PH,1563576387,75,11.72,122.09,84.04,9.62
115,Pangnirtung,75,CA,1563576243,93,66.15,-65.72,55.4,4.7
116,Bluff,0,AU,1563576387,53,-23.58,149.07,63.15,13.06
117,Nemuro,100,JP,1563576388,96,43.32,145.57,57.94,9.31
118,Banjar,99,ID,1563576388,95,-7.37,108.54,72.34,0.65
119,Jalu,0,LY,1563576389,46,29.03,21.55,77.92,12.03
120,Do Gonbadan,0,IR,1563576389,32,30.36,50.8,84.2,0.56
121,Koslan,95,RU,1563576390,94,63.46,48.9,48.04,0.54
122,Mount Gambier,31,AU,1563576390,66,-37.83,140.78,48.2,14.99
123,Cape Town,40,ZA,1563576340,76,-33.93,18.42,51.01,5.82
124,Hay River,40,CA,1563576391,55,60.82,-115.79,62.6,10.29
125,Seoul,75,KR,1563576391,65,37.57,126.98,84.2,3.36
126,Cayenne,0,GF,1563576390,94,4.94,-52.33,75.2,3.24
127,Jamestown,0,AU,1563576256,43,-33.21,138.6,56.14,17.38
128,Marsh Harbour,22,BS,1563576392,67,26.54,-77.06,84.75,5.32
129,Faya,20,SA,1563576392,19,18.39,42.45,78.8,1.81
130,Qaanaaq,100,GL,1563576336,95,77.48,-69.36,39.04,6.64
131,Cairns,0,AU,1563576100,72,-16.92,145.77,59.0,13.87
132,Geraldton,90,CA,1563576392,47,49.72,-86.95,80.6,11.41
133,Grindavik,20,IS,1563576392,93,63.84,-22.43,55.4,9.17
134,Hasaki,75,JP,1563576392,88,35.73,140.83,79.0,4.7
135,Jacareacanga,52,BR,1563576392,62,-6.22,-57.76,78.82,0.36
136,Inuvik,90,CA,1563576393,77,68.36,-133.71,64.4,5.82
137,Kaeo,1,NZ,1563576393,100,-35.1,173.78,57.99,10.94
138,Shenzhen,90,CN,1563576393,94,22.54,114.05,86.0,8.95
139,Prince Rupert,40,CA,1563576393,72,54.32,-130.32,62.6,6.93
140,Opuwo,0,NA,1563576393,23,-18.06,13.84,55.95,5.59
141,Vanavara,100,RU,1563576393,50,60.35,102.28,57.75,14.72
142,Ponta Delgada,75,PT,1563576300,94,37.73,-25.67,71.6,8.05
143,Kodiak,1,US,1563576394,20,39.95,-94.76,98.01,18.34
144,Westport,1,US,1563576394,74,41.14,-73.36,90.0,12.75
145,Amuntai,7,ID,1563576394,80,-2.42,115.25,78.82,1.54
146,Te Anau,100,NZ,1563576394,90,-45.41,167.72,43.17,3.62
147,Bredasdorp,52,ZA,1563576280,81,-34.53,20.04,48.2,8.05
148,Fortuna,20,US,1563576394,63,40.6,-124.16,66.99,17.22
149,Victoria,75,BN,1563576184,88,5.28,115.24,80.6,8.3
150,Hamilton,90,CA,1563576395,94,43.26,-79.87,88.0,14.99
151,Den Helder,90,NL,1563576395,88,52.96,4.76,66.99,5.82
152,Itaituba,61,BR,1563576395,68,-4.26,-55.99,78.82,0.6
153,Nuevo Progreso,1,US,1563576395,34,26.05,-97.95,97.0,17.22
154,Puerto Ayora,75,EC,1563576395,73,-0.74,-90.35,73.4,13.87
155,Srednekolymsk,73,RU,1563576395,51,67.46,153.71,53.07,10.94
156,Trairi,6,BR,1563576396,83,-3.28,-39.27,71.8,4.05
157,Guerrero Negro,0,MX,1563576396,85,27.97,-114.04,64.95,19.3
158,Leh,0,IN,1563576396,54,34.16,77.58,38.14,0.87
159,Ponta do Sol,5,BR,1563576396,65,-20.63,-46.0,55.24,4.94
160,Kasongo-Lunda,4,CD,1563576396,59,-6.48,16.82,65.5,4.5
161,Fandriana,13,MG,1563576396,90,-20.24,47.38,49.47,1.19
162,Kenai,1,US,1563576397,63,60.55,-151.26,75.99,17.22
163,Namanyere,0,TZ,1563576397,55,-7.51,31.05,58.65,3.89
164,Sibolga,100,ID,1563576397,77,1.74,98.78,81.15,6.51
165,Sur,1,OM,1563576397,83,22.57,59.53,75.75,2.46
166,Boddam,100,GB,1563576397,100,57.47,-1.78,57.99,6.93
167,Shimoda,100,JP,1563576397,91,34.7,138.93,79.0,3.0
168,Mbandaka,72,CD,1563576397,93,0.05,18.26,71.8,2.95
169,Rasra,12,IN,1563576398,67,25.86,83.86,88.0,5.59
170,Koumac,2,NC,1563576398,73,-20.56,164.28,69.1,11.81
171,Havre-Saint-Pierre,1,CA,1563576398,52,50.23,-63.6,68.0,8.05
172,San Jose de Guanipa,26,VE,1563576398,74,8.89,-64.17,78.82,11.23
173,Karratha,5,AU,1563576398,54,-20.74,116.85,65.5,18.68
174,Kaitangata,100,NZ,1563576398,89,-46.28,169.85,48.99,5.01
175,Tevaitoa,26,PF,1563576398,79,-16.78,-151.5,75.04,20.8
176,Sept-Iles,90,CA,1563576399,77,50.2,-66.38,60.8,2.24
177,Dobryatino,22,RU,1563576399,96,55.51,41.32,56.14,7.94
178,Arraial do Cabo,75,BR,1563576399,77,-22.97,-42.02,66.2,6.93
179,Caravelas,39,BR,1563576399,72,-17.73,-39.27,70.9,13.73
180,Porosozero,98,RU,1563576399,90,62.72,32.71,49.65,7.65
181,Veraval,0,FR,1563576399,82,49.65,0.71,69.8,6.93
182,Prim Decembrie,0,RO,1563576400,77,44.29,26.06,71.01,1.12
183,Vila Franca do Campo,75,PT,1563576400,94,37.72,-25.43,71.6,8.05
184,Lagoa,0,PT,1563576400,54,37.14,-8.45,78.8,8.05
185,Alice Springs,13,AU,1563576136,48,-23.7,133.88,39.2,16.28
186,Fuyu,98,CN,1563576400,71,47.79,124.46,79.0,14.7
187,Tiznit,87,MA,1563576400,93,29.7,-9.73,67.47,11.05
188,Nikolskoye,90,RU,1563576186,93,59.7,30.79,61.0,6.71
189,Lavrentiya,99,RU,1563576401,61,65.58,-170.99,61.35,9.22
190,Kudahuvadhoo,40,MV,1563576401,76,2.67,72.89,83.85,18.3
191,Mahebourg,75,MU,1563576401,78,-20.41,57.7,71.6,12.75
192,Deputatskiy,100,RU,1563576401,70,69.3,139.9,40.65,1.39
193,Azanja,0,RS,1563576401,77,44.43,20.88,68.0,3.36
194,Kaset Sombun,96,TH,1563576401,97,16.28,101.95,70.72,1.16
195,Chapleau,75,CA,1563576401,50,47.85,-83.4,78.8,9.17
196,Vilyuysk,0,RU,1563576402,40,63.75,121.63,57.94,6.42
197,Souillac,0,FR,1563576402,64,45.6,-0.6,72.0,4.7
198,Iqaluit,75,CA,1563576402,76,63.75,-68.52,51.8,8.05
199,Kamenka,0,MD,1563576402,89,48.03,28.7,55.99,3.22
200,Castro,20,CL,1563576402,81,-42.48,-73.76,42.8,11.41
201,Hualmay,0,PE,1563576402,87,-11.1,-77.61,61.54,11.25
202,Mayo,75,CA,1563576402,30,63.59,-135.9,80.6,3.36
203,Alekseyevka,0,RU,1563576403,77,53.25,50.49,64.4,4.47
204,Rocha,0,UY,1563576386,94,-34.48,-54.34,54.34,6.04
205,Innisfail,10,AU,1563576403,64,-17.52,146.03,66.57,5.53
206,Sarangani,81,PH,1563576403,75,5.4,125.46,81.7,5.7
207,Lincoln,100,GB,1563576388,93,53.23,-0.54,64.4,14.99
208,Faanui,63,PF,1563576403,79,-16.48,-151.75,76.3,18.68
209,Trelew,50,AR,1563576403,40,-43.25,-65.31,43.9,27.58
210,Saldanha,0,PT,1563576404,62,41.42,-6.55,68.02,4.94
211,Itupiranga,0,BR,1563576404,69,-5.13,-49.33,80.6,1.12
212,Guozhen,23,CN,1563576404,78,29.3,113.14,82.42,3.38
213,Tingi,2,TZ,1563576404,71,-11.3,35.03,61.0,4.9
214,Gejiu,100,CN,1563576404,91,23.36,103.16,66.94,3.98
215,Kavaratti,100,IN,1563576404,74,10.57,72.64,82.6,23.55
216,Sawakin,25,SD,1563576405,35,19.1,37.33,86.02,6.49
217,Klaksvik,73,FO,1563576405,100,62.23,-6.59,50.0,11.41
218,Ribeira Grande,0,PT,1563576405,90,38.52,-28.7,72.87,13.0
219,Pisco,90,PE,1563576405,30,-13.71,-76.2,71.6,8.05
220,Vanimo,75,PG,1563576405,69,-2.67,141.3,83.32,3.78
221,Aswan,0,EG,1563576405,22,24.09,32.9,98.6,13.87
222,Elk Plain,40,US,1563576406,40,47.04,-122.37,73.4,4.7
223,Invermere,100,CA,1563576406,55,50.51,-116.03,60.01,3.0
224,Progreso,40,UY,1563576406,93,-34.68,-56.22,55.4,3.36
225,Jesup,40,US,1563576406,88,31.61,-81.89,86.0,3.24
226,Batemans Bay,0,AU,1563576406,99,-35.71,150.18,48.99,1.77
227,La Rioja,0,AR,1563576406,51,-29.41,-66.86,49.3,4.09
228,Matagami,100,NG,1563576406,97,9.67,8.4,68.2,1.23
229,Dunedin,100,NZ,1563576159,96,-45.87,170.5,48.0,18.01
230,Chake Chake,0,TZ,1563576407,76,-5.25,39.77,76.3,10.45
231,Atambua,0,ID,1563576407,73,-9.11,124.89,76.47,9.84
232,Bambous Virieux,75,MU,1563576407,78,-20.34,57.76,71.6,12.75
233,Svetlaya,14,RU,1563576407,69,46.54,138.33,73.24,4.65
234,Khandbari,91,NP,1563576407,88,27.38,87.21,58.3,1.72
235,Batagay,28,RU,1563576407,56,67.65,134.64,49.3,9.57
236,Port Lincoln,0,AU,1563576408,55,-34.72,135.86,60.45,29.8
237,Mandalgovi,5,MN,1563576408,55,45.76,106.27,68.55,5.86
238,Nambucca Heads,0,AU,1563576408,93,-30.64,152.99,53.01,4.7
239,Coffs Harbour,0,AU,1563576408,93,-30.3,153.13,50.0,4.7
240,Zhigansk,12,RU,1563576408,49,66.77,123.37,57.22,17.81
241,Meulaboh,100,ID,1563576408,83,4.14,96.13,79.54,13.35
242,Bathsheba,40,BB,1563576408,74,13.22,-59.52,82.4,13.87
243,Port Elizabeth,1,US,1563576409,66,39.31,-74.98,93.99,5.82
244,Maceio,75,BR,1563576131,88,-9.67,-35.74,71.6,10.29
245,Laguna,75,BZ,1563576409,74,16.17,-88.94,84.2,6.93
246,Shubarkuduk,0,KZ,1563576409,72,49.15,56.49,73.24,17.09
247,Svetlyy Yar,0,RU,1563576410,72,48.48,44.79,66.2,4.47
248,Upernavik,100,GL,1563576410,92,72.79,-56.15,44.07,12.75
249,Sola,68,TZ,1563576410,54,-3.17,33.8,67.84,4.12
250,Kieta,100,PG,1563576410,71,-6.22,155.63,83.32,11.48
251,Wanning,75,AT,1563576410,68,48.64,13.53,68.0,3.36
252,Marshall,1,US,1563576410,63,39.12,-93.2,95.0,11.41
253,Culebra,97,PA,1563576410,57,9.3,-82.53,61.0,5.01
254,Cockburn Town,75,TC,1563576411,70,21.46,-71.14,86.0,13.87
255,Mizan Teferi,100,ET,1563576411,97,6.99,35.58,61.54,2.66
256,Nadym,62,RU,1563576411,84,65.53,72.51,69.82,6.22
257,Nanortalik,99,GL,1563576411,96,60.14,-45.24,43.0,2.24
258,Merke,0,KZ,1563576411,17,42.87,73.19,79.0,8.39
259,Umm Kaddadah,40,SD,1563576411,43,13.6,26.69,86.37,11.97
260,Vila Velha,75,BR,1563576347,74,-3.71,-38.6,86.0,13.87
261,Riyadh,35,SA,1563576349,12,24.63,46.72,95.0,12.75
262,Mahon,75,IE,1563576412,82,51.89,-8.4,60.01,14.99
263,Flinders,0,AU,1563576412,70,-34.58,150.85,55.0,10.29
264,Port Keats,0,AU,1563576412,37,-14.25,129.55,73.24,7.74
265,Camabatela,0,AO,1563576412,98,-8.19,15.37,58.47,1.23
266,Vardo,1,US,1563576300,44,39.62,-77.74,96.8,9.17
267,Lebowakgomo,0,ZA,1563576412,29,-24.3,29.54,53.6,10.29
268,Jimeta,100,NG,1563576412,88,9.28,12.44,72.7,6.89
269,Ariquemes,1,BR,1563576413,52,-9.91,-63.03,77.02,1.16
270,Lucapa,3,AO,1563576413,31,-8.42,20.74,60.64,3.76
271,Northam,75,AU,1563576413,87,-31.65,116.67,48.2,5.82
272,Ixtapa,90,MX,1563576413,94,20.71,-105.21,79.0,10.29
273,Moree,0,AU,1563576413,52,-29.46,149.84,55.0,11.41
274,Nome,40,US,1563576413,70,30.04,-94.42,93.99,11.41
275,Vestmannaeyjar,76,IS,1563576413,89,63.44,-20.27,52.0,4.47
