,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
276,Sijunjung,100,ID,1563576414,93,-0.69,100.95,64.77,2.15
277,Aklavik,75,CA,1563576414,72,68.22,-135.01,64.4,5.82
278,Ambon,90,FR,1563576414,88,47.55,-2.56,66.99,5.82
279,Cedar City,1,US,1563576311,10,37.68,-113.06,91.4,17.22
280,Sao Miguel do Araguaia,9,BR,1563576414,39,-13.28,-50.16,76.65,2.64
281,Cidreira,17,BR,1563576414,82,-30.17,-50.22,60.82,4.79
282,Kahului,40,US,1563576366,49,20.89,-156.47,91.4,18.34
283,Lazdijai,20,LT,1563576414,85,54.23,23.51,54.87,0.72
284,Havoysund,0,NO,1563576415,63,71.0,24.66,62.6,13.87
285,Barrow,100,AR,1563576415,52,-38.31,-60.23,49.12,10.96
286,Suntar,0,RU,1563576415,54,62.16,117.65,58.47,5.86
287,Fairview,20,CA,1563576415,56,56.07,-118.38,73.4,9.17
288,Nyurba,0,RU,1563576415,50,63.29,118.35,59.2,8.66
289,Nishihara,1,JP,1563576415,83,35.74,139.53,82.99,2.01
290,Wuda,34,CN,1563576415,35,39.5,106.72,78.64,3.4
291,Padang,100,ID,1563576416,82,-0.92,100.36,80.25,7.61
292,Colquiri,75,BO,1563576416,50,-17.42,-67.13,53.6,16.11
293,Palora,40,EC,1563576416,65,-1.7,-77.97,77.0,3.36
294,Ilulissat,75,GL,1563576416,66,69.22,-51.1,53.6,10.29
295,Yukamenskoye,43,RU,1563576416,93,57.89,52.24,56.85,1.41
296,Qasigiannguit,75,GL,1563576416,66,68.82,-51.19,53.6,10.29
297,Olecko,90,PL,1563576416,88,54.04,22.49,57.57,5.28
298,Rabo de Peixe,75,PT,1563576417,94,37.8,-25.58,71.6,8.05
299,Los Llanos de Aridane,20,ES,1563576417,78,28.66,-17.92,71.6,14.99
300,Ahipara,29,NZ,1563576417,100,-35.17,173.16,57.99,19.01
301,Solnechnyy,98,RU,1563576417,79,50.72,136.64,74.5,3.09
302,Brae,49,GB,1563576417,93,60.4,-1.35,57.2,14.99
303,Troitsko-Pechorsk,59,RU,1563576417,98,62.71,56.19,48.57,4.56
304,Michigan City,1,US,1563576417,62,41.71,-86.9,93.99,17.9
305,Dingle,83,PH,1563576418,72,11.0,122.67,80.44,1.39
306,Zhangjiakou,87,CN,1563576418,72,40.77,114.88,68.74,3.8
307,Torbay,20,CA,1563576418,76,47.66,-52.73,57.99,9.17
308,Atikokan,100,CA,1563576418,71,48.76,-91.62,68.2,9.66
309,Along,77,IN,1563576418,94,28.17,94.8,61.54,1.59
310,Sarkand,31,KZ,1563576418,32,45.41,79.91,73.77,8.52
311,Hobyo,47,SO,1563576418,62,5.35,48.53,77.02,22.08
312,Lima,90,PE,1563576176,87,-12.06,-77.04,60.8,5.82
313,Mulchen,90,CL,1563576419,93,-37.72,-72.23,50.0,5.82
314,Sabha,0,LY,1563576419,27,27.03,14.43,82.77,15.39
315,Longyearbyen,75,NO,1563576393,81,78.22,15.63,44.6,4.7
316,Sao Filipe,41,CV,1563576419,84,14.9,-24.5,74.85,16.51
317,Makakilo City,90,US,1563576419,65,21.35,-158.09,88.0,11.41
318,Paluan,100,PH,1563576419,75,13.42,120.46,84.57,12.01
319,Daru,85,PG,1563576419,71,-9.07,143.21,78.1,11.14
320,Yima,78,CN,1563576420,75,34.75,111.87,75.75,4.72
321,Tulun,98,RU,1563576420,93,54.56,100.58,61.54,2.59
322,Aitape,32,PG,1563576420,73,-3.15,142.36,83.14,3.94
323,Ostrogozhsk,48,RU,1563576420,93,50.86,39.08,56.67,5.84
324,Acheng,44,CN,1563576420,88,45.55,126.95,75.2,6.71
325,Isangel,90,VU,1563576420,73,-19.55,169.27,73.4,5.82
326,Bang Saphan,99,TH,1563576421,85,11.21,99.51,78.64,5.41
327,Isiro,51,CD,1563576421,98,2.77,27.62,66.22,0.94
328,Zelenoborsk,0,RU,1563576421,82,61.47,64.05,59.37,4.16
329,Jarwal,2,IN,1563576421,56,27.12,81.54,88.54,4.09
330,Najran,23,SA,1563576421,16,17.54,44.22,86.0,4.41
331,La Roda,0,ES,1563576421,53,39.21,-2.16,82.0,6.93
332,Conneaut,20,US,1563576422,66,41.95,-80.55,89.6,13.87
333,Celendin,20,PE,1563576298,39,-6.87,-78.15,64.4,6.93
334,Port Macquarie,0,AU,1563576422,65,-31.43,152.91,53.01,5.82
335,Boyolangu,72,ID,1563576422,88,-8.09,111.9,72.15,5.93
336,Yaan,100,NG,1563576422,97,7.38,8.57,71.62,0.69
337,Turukhansk,0,RU,1563576422,52,65.8,87.96,62.62,11.95
338,Bakchar,12,RU,1563576422,96,57.02,82.07,63.34,4.7
339,Ofaqim,0,IL,1563576423,84,31.31,34.62,77.0,0.25
340,Kalmunai,85,LK,1563576423,72,7.42,81.82,77.92,6.04
341,Bilibino,99,RU,1563576423,51,68.06,166.44,46.95,4.92
342,Napanee,75,CA,1563576423,83,44.25,-76.95,87.01,13.87
343,Ordzhonikidze,21,UA,1563576423,69,44.96,35.36,62.62,2.39
344,Yonezawa,100,JP,1563576423,90,37.88,140.12,75.0,3.36
345,Mount Isa,0,AU,1563576424,52,-20.73,139.49,44.6,3.36
346,Lompoc,1,US,1563576424,60,34.64,-120.46,73.4,12.75
347,Sibu,75,MY,1563576424,94,2.29,111.83,77.0,1.12
348,Galle,100,GN,1563576424,98,10.08,-12.83,70.9,3.76
349,Toamasina,75,MG,1563576424,93,-18.17,49.38,66.2,6.93
350,Mongoumba,88,CD,1563576424,96,3.64,18.59,70.17,3.29
351,Olinda,77,AU,1563576425,81,-37.84,145.39,53.01,9.17
352,Matara,28,BI,1563576425,87,-3.48,29.48,50.92,2.51
353,Can,34,IT,1563576425,78,46.08,11.97,75.2,1.12
354,Goba,29,ET,1563576425,87,7.01,39.97,45.34,2.71
355,Yantal,16,RU,1563576425,53,56.85,105.25,57.75,8.86
356,Carutapera,38,BR,1563576425,93,-1.2,-46.02,74.5,4.38
357,Paamiut,100,GL,1563576426,91,61.99,-49.67,43.9,11.9
358,Manokwari,0,ID,1563576372,68,-0.87,134.08,78.64,3.31
359,Bozova,0,TR,1563576426,44,37.36,38.53,75.2,9.17
360,The Pas,20,CA,1563576426,72,53.82,-101.24,66.2,5.82
361,Kashary,0,RU,1563576426,67,49.04,41.01,62.07,4.5
362,Marawi,80,PH,1563576426,88,8.0,124.29,75.99,5.01
363,Orikum,0,AL,1563576426,74,40.33,19.47,75.22,7.65
364,Yar-Sale,83,RU,1563576427,80,66.83,70.83,67.65,5.41
365,Mariental,0,BR,1563576427,93,-25.72,-49.65,59.0,5.82
366,Huruta,38,ET,1563576427,78,8.15,39.35,60.64,7.56
367,Abu Road,11,IN,1563576427,57,24.48,72.78,85.47,3.91
368,Alofi,75,NU,1563576427,83,-19.06,-169.92,78.8,10.29
369,Berlevag,20,NO,1563576427,87,70.86,29.09,51.8,6.93
370,Ende,0,ID,1563576428,82,-8.84,121.65,75.94,5.88
371,Arlit,46,NE,1563576428,19,18.74,7.39,94.84,6.76
372,Saint-Raymond,20,CA,1563576428,66,46.89,-71.84,84.2,9.17
373,Lagoa Vermelha,100,BR,1563576428,94,-28.21,-51.53,55.05,4.07
374,Oranjemund,0,ZA,1563576428,83,-28.55,16.43,55.24,24.16
375,Mabaruma,83,GY,1563576428,98,8.2,-59.78,73.95,2.82
376,Shahdol,81,IN,1563576429,70,23.3,81.36,80.44,3.96
377,Teknaf,68,BD,1563576429,76,20.86,92.31,84.4,8.37
378,Puerto Lleras,40,CO,1563576429,48,8.16,-72.46,86.0,18.34
379,Liseleje,90,DK,1563576429,100,56.01,11.96,62.6,1.12
380,Marsa Matruh,0,EG,1563576429,69,31.35,27.25,78.8,4.7
381,Ilovlya,0,RU,1563576430,72,49.31,43.98,66.2,4.47
382,Mumbwa,4,ZM,1563576430,54,-14.99,27.06,52.72,3.56
383,Shache,0,CN,1563576430,19,38.42,77.24,79.17,9.28
384,Ancud,20,CL,1563576430,81,-41.87,-73.83,42.8,11.41
385,Salalah,75,OM,1563576430,94,17.01,54.1,78.8,5.82
386,Blagoyevo,90,RU,1563576431,94,63.37,47.92,49.3,1.05
387,Kidal,35,ML,1563576431,29,18.44,1.41,92.14,8.86
388,Lata,0,IN,1563576431,84,30.78,78.62,39.22,2.35
389,Lola,100,GN,1563576431,98,7.8,-8.53,69.82,4.34
390,Elizabeth City,1,US,1563576431,79,36.3,-76.22,93.99,6.85
391,Novyye Burasy,0,RU,1563576431,72,52.13,46.08,69.01,4.47
392,Nchelenge,1,ZM,1563576432,53,-9.35,28.74,60.45,7.56
393,Pangoa,16,PE,1563576432,92,-12.12,-73.0,68.55,1.74
394,Sorong,82,ID,1563576432,84,-0.86,131.25,78.64,6.96
395,Navirai,100,BR,1563576432,85,-23.07,-54.19,63.15,7.83
396,Belmonte,0,PT,1563576432,78,40.36,-7.35,57.0,3.49
397,Apollonia,20,GR,1563576432,78,40.64,23.49,75.99,3.36
398,Salantai,52,LT,1563576432,100,56.06,21.57,55.4,3.36
399,Namuac,100,PH,1563576433,67,18.61,121.17,81.7,1.39
400,Haimen,96,CN,1563576433,92,31.87,121.18,86.0,1.01
401,Luderitz,0,NA,1563576433,78,-26.65,15.16,57.4,28.25
402,Teguise,75,ES,1563576433,73,29.06,-13.56,73.4,16.11
403,Portland,1,US,1563576262,65,43.66,-70.25,89.6,8.05
404,Shangrao,53,CN,1563576433,88,28.45,117.97,82.05,2.89
405,Gigmoto,100,PH,1563576433,73,13.78,124.39,84.04,9.51
406,Danielskuil,0,ZA,1563576434,91,-28.19,23.54,39.75,9.22
407,Borazjan,0,IR,1563576434,62,29.27,51.21,84.2,2.08
408,San Felipe,100,CL,1563576434,93,-32.75,-70.73,55.0,3.15
409,San Quintin,100,PH,1563576434,82,17.54,120.52,79.72,3.15
410,Sibiti,100,CG,1563576434,96,-3.69,13.35,65.14,2.19
411,Concordia,17,AR,1563576434,94,-31.4,-58.02,58.3,8.72
412,Vytegra,100,RU,1563576435,90,61.01,36.45,59.74,3.65
413,Praia da Vitoria,20,PT,1563576435,78,38.73,-27.07,77.0,14.61
414,Mauboh,46,PH,1563576435,80,5.99,121.09,80.97,3.33
415,Sao Joao da Barra,0,BR,1563576435,82,-21.64,-41.05,64.4,2.15
416,Birao,67,CF,1563576435,90,10.3,22.78,71.97,2.95
417,Moron,100,HT,1563576435,75,18.56,-74.26,82.05,5.75
418,Tura,0,RU,1563576436,48,64.27,100.22,57.22,5.26
419,Port Hardy,75,CA,1563576436,77,50.7,-127.42,59.0,3.36
420,Ust-Omchug,100,RU,1563576436,96,61.13,149.63,42.82,7.96
421,San Patricio,32,PY,1563576436,95,-26.98,-56.83,62.25,5.75
422,Lagunas,3,PE,1563576436,86,-5.23,-75.68,75.57,2.91
423,Mahenge,34,TZ,1563576436,74,-8.68,36.72,65.67,3.91
424,Mnogovershinnyy,100,RU,1563576436,86,53.94,139.92,63.34,2.73
425,Lufilufi,40,WS,1563576437,74,-13.87,-171.6,86.0,10.29
426,Arroio dos Ratos,0,BR,1563576437,87,-30.09,-51.73,62.01,2.24
427,Sungaipenuh,100,ID,1563576437,79,-2.08,101.38,69.27,3.42
428,Agadez,83,NE,1563576437,34,16.97,7.99,93.75,12.37
429,Kirakira,9,SB,1563576437,72,-10.46,161.92,83.14,9.82
430,Yeppoon,1,AU,1563576437,62,-23.13,150.74,59.0,8.05
431,Chiredzi,0,ZW,1563576437,23,-21.05,31.67,59.55,5.39
432,Manzil Salim,20,TN,1563576438,31,35.86,8.48,75.2,10.29
433,Amazar,100,RU,1563576438,96,53.86,120.88,52.0,7.52
434,Dandong,3,CN,1563576438,64,40.12,124.37,81.7,5.57
435,Auki,87,NG,1563576438,83,12.18,6.51,74.32,9.57
436,Buala,63,SB,1563576289,74,-8.15,159.59,82.77,9.66
437,Jardim,47,BR,1563576438,83,-21.48,-56.15,64.05,4.7
438,Koszalin,30,PL,1563576438,70,54.19,16.18,70.0,1.77
439,Cotonou,40,BJ,1563576439,88,6.37,2.43,78.8,8.05
440,Littleton,20,US,1563576347,20,39.61,-105.02,100.99,6.93
441,Ibra,0,OM,1563576439,58,22.69,58.55,80.07,3.89
442,Muros,20,ES,1563576439,88,42.77,-9.06,66.99,3.36
443,Churapcha,5,RU,1563576439,49,62.0,132.43,57.22,3.18
444,Shenjiamen,47,CN,1563576439,91,29.96,122.3,78.1,13.15
445,Trat,100,TH,1563576440,76,12.25,102.51,84.0,5.97
446,Jining,40,CN,1563576440,62,35.41,116.58,84.99,6.46
447,Ryotsu,90,JP,1563576440,94,38.08,138.43,75.2,1.12
448,Independence,1,US,1563576344,50,39.09,-94.42,98.01,10.29
449,Talnakh,0,RU,1563576440,58,69.49,88.39,59.0,8.95
450,Vao,10,EE,1563576440,95,59.1,26.19,55.24,5.44
451,San Carlos de Bariloche,75,AR,1563576440,82,-41.13,-71.31,32.0,5.82
452,Balkanabat,0,TM,1563576441,55,39.51,54.36,83.32,10.29
453,Nioro,80,GM,1563576441,71,13.79,-15.05,77.02,11.88
454,Myitkyina,71,MM,1563576441,98,25.38,97.4,74.32,1.74
455,Khoy,0,IR,1563576441,56,38.55,44.95,56.5,5.57
456,Mungaa,44,TZ,1563576441,70,-4.97,34.86,60.64,10.96
457,San Cristobal,46,HN,1563576441,74,14.68,-86.92,72.7,9.04
458,Neiafu,75,TO,1563576441,83,-18.65,-173.98,80.6,6.93
459,Inhambane,0,MZ,1563576442,46,-23.87,35.38,68.55,12.66
460,Richards Bay,66,ZA,1563576442,79,-28.77,32.06,66.75,26.13
461,Mehamn,20,NO,1563576442,87,71.03,27.85,51.8,6.93
462,Andros Town,40,BS,1563576442,58,24.73,-77.79,87.8,12.75
463,Forbes,0,AU,1563576442,70,-33.38,148.01,52.0,5.08
464,Rio Gallegos,40,AR,1563576442,69,-51.62,-69.22,35.6,10.29
465,Kelheim,73,DE,1563576442,72,48.92,11.87,66.99,1.12
466,Sing Buri,66,TH,1563576443,86,14.89,100.4,79.0,3.0
467,Wynyard,100,AU,1563576443,94,-40.99,145.73,48.99,3.0
468,Molchanovo,7,RU,1563576443,96,57.58,83.76,63.34,6.53
469,Menongue,44,AO,1563576443,36,-14.66,17.68,47.85,3.85
470,Vienna,0,AT,1563576443,68,48.21,16.37,70.0,1.12
471,Constantine,40,DZ,1563576443,44,36.36,6.61,75.2,3.36
472,Issoire,0,FR,1563576444,53,45.54,3.25,71.6,4.7
473,Tamale,51,GH,1563576444,96,9.4,-0.84,71.62,4.16
474,Maragogi,55,BR,1563576444,95,-9.01,-35.22,70.17,5.19
475,Esperance,75,AU,1563576444,93,-33.86,121.89,46.4,23.04
476,Ust-Nera,100,RU,1563576444,90,64.57,143.24,36.34,7.99
477,Lagos,100,NG,1563576444,93,6.46,3.39,75.04,6.6
478,Altay,63,CN,1563576445,60,47.83,88.13,55.95,3.24
479,North Platte,1,US,1563576445,47,41.12,-100.77,97.0,11.41
480,Ballangen,23,NO,1563576445,82,68.34,16.83,61.0,4.7
481,Plettenberg Bay,98,ZA,1563576445,78,-34.05,23.37,47.67,15.37
482,Henties Bay,0,NA,1563576445,87,-22.12,14.28,55.0,15.37
483,Ovsyanka,100,RU,1563576445,99,53.58,126.91,64.6,8.57
484,Patnos,0,TR,1563576446,82,39.23,42.86,56.85,6.02
485,Mayumba,25,GA,1563576446,89,-3.44,10.65,71.25,3.87
486,Nacala,2,MZ,1563576446,92,-14.56,40.69,62.8,2.75
487,Yining,13,CN,1563576446,88,29.04,114.56,81.34,0.72
488,Enzan,1,JP,1563576446,83,35.7,138.73,79.0,3.58
489,Yumen,34,CN,1563576446,23,40.29,97.04,78.1,1.19
490,Mankono,99,CI,1563576446,94,8.06,-6.19,71.8,8.55
491,Tibiao,100,PH,1563576447,75,11.29,122.03,82.6,6.55
492,Clarence Town,0,AU,1563576447,87,-32.59,151.78,48.99,3.36
493,Ulladulla,6,AU,1563576447,70,-35.36,150.48,52.0,10.29
494,Gorontalo,39,ID,1563576447,78,0.54,123.06,79.9,2.33
495,Rwamagana,92,RW,1563576447,56,-1.95,30.43,69.01,3.0
496,Zomin,0,UZ,1563576447,21,39.96,68.4,77.55,5.14
497,San Julian,82,PH,1563576447,70,11.75,125.45,83.14,2.21
498,Chicama,20,PE,1563576447,82,-7.84,-79.15,64.4,9.17
499,Tanout,100,NE,1563576448,44,14.97,8.88,87.82,14.9
500,Shingu,100,JP,1563576448,82,33.72,135.99,75.57,5.32
501,Broken Hill,0,AU,1563576214,42,-31.97,141.45,44.6,9.17
502,Atar,0,MR,1563576448,13,20.52,-13.05,93.04,6.15
503,Necochea,97,AR,1563576448,83,-38.55,-58.74,51.01,8.01
504,Abu Kamal,0,SY,1563576448,46,34.45,40.92,76.47,18.81
505,Yulara,12,AU,1563576448,40,-25.24,130.99,33.8,2.24
506,Taybad,0,IR,1563576449,17,34.74,60.78,79.35,17.74
507,Erzin,20,TR,1563576449,94,36.95,36.2,77.0,2.01
508,Leshukonskoye,77,RU,1563576449,88,64.9,45.76,48.22,6.02
509,Surskoye,64,RU,1563576449,94,54.48,46.71,57.04,7.54
510,Bell Ville,8,AR,1563576384,76,-32.63,-62.69,53.07,6.53
511,Ayr,0,AU,1563576449,83,-19.58,147.4,59.0,4.07
512,Cabedelo,75,BR,1563576449,100,-6.97,-34.84,73.4,8.05
513,Sorland,0,NO,1563576449,70,67.67,12.69,58.12,7.09
514,Pontal do Parana,0,BR,1563576450,93,-25.67,-48.51,64.4,3.36
515,Muravlenko,13,RU,1563576450,67,63.79,74.5,73.24,6.96
516,Gari,67,RU,1563576450,97,59.43,62.35,61.17,4.16
517,Santa Cruz,38,BR,1563576450,85,-6.22,-36.02,69.64,12.48
518,Hargeysa,28,SO,1563576450,62,9.56,44.06,68.55,26.06
519,Cuamba,18,MZ,1563576450,68,-14.8,36.54,59.02,2.17
520,Kampot,75,KH,1563576451,94,10.62,104.18,78.8,1.12
521,Kupang,12,ID,1563576451,73,-10.16,123.6,74.14,9.89
522,Nabire,69,ID,1563576451,78,-3.36,135.5,76.65,3.69
523,Mitu,0,IR,1563576451,48,36.2,46.09,63.15,4.59
524,Mbanza-Ngungu,0,CD,1563576451,87,-5.25,14.87,67.84,5.06
525,Sidi Ali,11,DZ,1563576451,68,36.1,0.42,80.25,17.31
526,Hervey Bay,40,AU,1563576452,71,-25.3,152.85,64.0,8.05
527,Shahr-e Kord,0,IR,1563576452,17,32.33,50.85,66.2,4.7
528,Havre,20,US,1563576452,15,48.55,-109.68,73.4,20.8
529,Portmore,20,JM,1563576166,58,17.97,-76.87,87.8,20.8
530,Jaciara,4,BR,1563576452,41,-15.95,-54.98,74.67,2.1
531,Sharjah,0,AE,1563576452,50,25.36,55.39,96.8,6.93
532,Hambantota,75,LK,1563576452,94,6.12,81.12,77.0,16.11
533,Anda,86,CN,1563576453,65,46.41,125.33,81.7,14.03
534,Novaya Igirma,59,RU,1563576453,48,57.14,103.93,59.02,12.41
535,Vaitape,63,PF,1563576453,79,-16.52,-151.75,76.3,18.68
536,Noshiro,75,JP,1563576453,100,40.21,140.05,68.0,4.7
537,Yelan,0,RU,1563576453,75,50.95,43.74,60.01,5.97
538,Kaohsiung,75,TW,1563576453,100,22.62,120.31,77.0,5.82
539,Wajid,32,SO,1563576453,68,3.81,43.25,74.14,14.61
540,Burnie,100,AU,1563576454,94,-41.05,145.91,48.99,3.0
541,Kasangulu,20,CD,1563576454,83,-4.59,15.17,71.6,3.85
542,Gasa,66,BT,1563576454,89,27.91,89.73,38.85,2.51
543,Crotone,0,IT,1563576454,56,39.09,17.12,70.17,4.65
544,Peleduy,100,RU,1563576454,43,59.63,112.75,56.14,17.87
545,La Ronge,20,CA,1563576454,56,55.1,-105.3,73.4,13.87
546,Murray Bridge,0,AU,1563576455,56,-35.12,139.28,60.01,5.99
547,Gagino,35,RU,1563576455,80,54.27,39.54,59.0,4.0
548,Yizheng,100,CN,1563576455,94,24.67,103.43,65.5,1.32
549,Bayji,0,IQ,1563576455,38,34.93,43.49,84.4,18.48
550,Turayf,0,SA,1563576455,53,31.68,38.65,77.0,9.17
551,Diego de Almagro,0,CL,1563576337,70,-26.39,-70.05,52.54,2.24
552,Xanxere,100,BR,1563576455,87,-26.88,-52.4,57.2,2.24
553,Port-Cartier,90,CA,1563576455,77,50.03,-66.88,60.8,2.24
554,Rosarito,20,CO,1563576456,54,4.91,-75.23,82.4,2.24
